"","village_code","HouseID","menage_id","intervention.text","date.enquete","n.householdmember","n.child.0to5","n.households","n.population","ses.quintile","main.drinking.water.dry.binary","main.drinking.water.rainy.binary","correct.handwashing.binary","improved.sanitation.binary","livestock.access.house.binary","animal.excrement.floor.binary","round","stool.collect"
"15",11,288,"CAF00011902","intervention","2023-01-12",10,1,1528,7949,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,0
"16",11,289,"CAG00000402","intervention","2022-12-20",11,0,1528,7949,"third","Improved","Improved","No","No","Yes","Yes",1,0
"17",11,11,"CAG00000702","intervention","2022-12-20",5,0,1528,7949,"lowest","Improved","Improved","No","No","Yes","Yes",1,1
"18",11,290,"CAG00001103","intervention","2022-12-20",9,0,1528,7949,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"19",11,291,"CAG00001702","intervention","2022-12-20",12,1,1528,7949,"second","Improved","Improved","No","No","Yes","Yes",1,0
"20",11,12,"CAI00000201","intervention","2022-12-26",15,2,1528,7949,"second","Unimproved","Unimproved","No","No","Yes","Yes",1,1
"21",11,272,"CAA00018201","intervention","2022-12-27",12,2,1528,7949,"third","Unimproved","Unimproved","No","No","Yes","No",1,0
"22",11,273,"CAA00018402","intervention","2022-12-24",5,0,1528,7949,"highest","Improved","Improved","No","Yes","Yes","No",1,0
"23",11,274,"CAA00026801","intervention","2022-12-29",6,2,1528,7949,"second","Improved","Improved","Yes","No","Yes","No",1,0
"24",11,5,"CAB00001101","intervention","2022-12-20",19,5,1528,7949,"second","Improved","Improved","No","Yes","Yes","No",1,1
"25",11,6,"CAB00001104","intervention","2022-12-26",6,1,1528,7949,"highest","Improved","Improved","No","Yes","Yes","Yes",1,1
"26",11,275,"CAB00032101","intervention","2022-12-28",7,1,1528,7949,"second","Improved","Improved","Yes","Yes","Yes","No",1,0
"27",11,7,"CAB00033701","intervention","2022-12-19",13,2,1528,7949,"fourth","Unimproved","Unimproved","No","No","Yes","No",1,1
"28",11,276,"CAB00039201","intervention","2023-01-12",5,1,1528,7949,"lowest","Improved","Improved","Yes","Yes","Yes","No",1,0
"29",11,277,"CAC00002102","intervention","2023-01-12",3,0,1528,7949,"fourth","Improved","Improved","Yes","Yes","Yes","No",1,0
"30",11,278,"CAC00002702","intervention","2022-12-28",10,2,1528,7949,"lowest","Improved","Improved","Yes","Yes","Yes","No",1,0
"31",11,279,"CAC00011101","intervention","2022-12-28",7,2,1528,7949,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,0
"32",11,280,"CAC00015201","intervention","2023-01-02",7,2,1528,7949,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,0
"33",11,281,"CAC00020001","intervention","2023-01-11",15,2,1528,7949,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"34",11,282,"CAD00002703","intervention","2023-01-02",9,1,1528,7949,"second","Improved","Improved","No","Yes","Yes","Yes",1,0
"35",11,283,"CAD00004005","intervention","2023-01-02",4,0,1528,7949,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"36",11,284,"CAE00000601","intervention","2022-12-19",3,0,1528,7949,"second","Improved","Improved","No","No","Yes","Yes",1,0
"37",11,8,"CAE00001901","intervention","2022-12-19",2,0,1528,7949,"second","Improved","Improved","No","No","Yes","Yes",1,1
"38",13,13,"CRAS0101","intervention","2023-01-30",8,2,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,1
"39",13,14,"CRAS0201","intervention","2023-01-26",6,1,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,1
"40",13,15,"CRAS0202","intervention","2023-01-26",16,3,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,1
"41",13,16,"CRAS0401","intervention","2023-01-29",15,1,NA,4763.59291935937,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"42",13,17,"CRAS0601","intervention","2023-01-29",4,0,NA,4763.59291935937,"highest","Improved","Improved","No","Yes","Yes","Yes",1,1
"43",13,18,"CRAS0602","intervention","2023-01-26",6,2,NA,4763.59291935937,"fourth","Improved","Improved","No","Yes","Yes","Yes",1,1
"44",13,295,"CRSS0203","intervention","2023-02-02",2,NA,NA,4763.59291935937,NA,"Improved","Unimproved","No","No","No",NA,1,0
"45",13,296,"CRSS0301","intervention","2023-01-28",5,NA,NA,4763.59291935937,NA,"Improved","Improved","No","Yes","Yes","Yes",1,0
"46",13,297,"CRSS0401","intervention","2023-01-26",7,1,NA,4763.59291935937,NA,"Improved","Improved","No","Yes","No","Yes",1,0
"47",13,298,"CRSS0601","intervention","2023-01-27",2,0,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,0
"48",13,299,"CRSS0602","intervention","2023-01-27",3,1,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,0
"49",13,300,"CRSS0901","intervention","2023-01-30",5,2,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,0
"50",13,301,"CRSS1201","intervention","2023-01-30",2,0,NA,4763.59291935937,"lowest","Improved","Improved","No","Yes","No","No",1,0
"51",13,302,"CRSS1202","intervention","2023-01-30",12,3,NA,4763.59291935937,"second","Improved","Improved","No","Yes","No","No",1,0
"52",13,303,"CRSS1204","intervention","2023-01-31",6,3,NA,4763.59291935937,"second","Improved","Improved","No","Yes","No","No",1,0
"53",13,304,"CRSS1205","intervention","2023-01-30",11,4,NA,4763.59291935937,"second","Improved","Improved","No","Yes","No","No",1,0
"54",13,305,"CRSS1301","intervention","2023-01-26",8,1,NA,4763.59291935937,"second","Improved","Improved","No","Yes","Yes","Yes",1,0
"55",13,306,"CRSS1401","intervention","2023-01-26",16,5,NA,4763.59291935937,NA,"Improved","Improved","No","Yes","No","No",1,0
"56",13,307,"CRSS2101","intervention","2023-02-01",2,0,NA,4763.59291935937,NA,"Improved","Improved","No","Yes","Yes","Yes",1,0
"57",13,308,"CRSS2102","intervention","2023-02-01",6,0,NA,4763.59291935937,NA,"Improved","Improved","No","Yes","Yes","Yes",1,0
"58",13,309,"CRSS2301","intervention","2023-02-02",15,3,NA,4763.59291935937,"third","Improved","Improved","No","No","Yes","No",1,0
"59",13,310,"CRSS2302","intervention","2023-02-02",5,1,NA,4763.59291935937,"third","Improved","Improved","No","No","Yes","No",1,0
"60",13,311,"CRSS2303","intervention","2023-02-02",3,0,NA,4763.59291935937,"fourth","Improved","Improved","No","No","Yes","No",1,0
"61",13,312,"CRSS2304","intervention","2023-02-02",1,0,NA,4763.59291935937,"highest","Improved","Improved","Yes","No","Yes","No",1,0
"62",13,313,"CRSS2402","intervention","2023-01-28",7,1,NA,4763.59291935937,"lowest","Improved","Improved","No","No","Yes","No",1,0
"63",13,314,"CRSS2403","intervention","2023-01-28",3,1,NA,4763.59291935937,"third","Improved","Improved","No","No","Yes","No",1,0
"64",13,23,"CRAS1002","intervention","2023-01-28",12,0,NA,4763.59291935937,"third","Improved","Improved","No","No","Yes","No",1,1
"65",13,24,"CRAS1003","intervention","2023-01-28",15,1,NA,4763.59291935937,"fourth","Improved","Improved","No","No","Yes","No",1,1
"66",13,292,"CRSS0101","intervention","2023-01-27",5,NA,NA,4763.59291935937,NA,"Improved","Improved",NA,"No","No","No",1,0
"67",13,293,"CRSS0102","intervention","2023-01-27",2,1,NA,4763.59291935937,NA,"Improved","Improved","No","No","No","No",1,0
"68",13,19,"CRAS0701","intervention","2023-01-28",7,1,NA,4763.59291935937,NA,"Improved","Improved","No","No","Yes","Yes",1,1
"69",13,20,"CRAS0901","intervention","2023-01-28",7,0,NA,4763.59291935937,NA,"Improved","Improved","Yes","Yes","Yes","Yes",1,1
"70",13,21,"CRAS0902","intervention","2023-01-28",3,0,NA,4763.59291935937,NA,"Improved","Improved","Yes","Yes","Yes","Yes",1,1
"71",13,22,"CRAS1001","intervention","2023-01-28",6,1,NA,4763.59291935937,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"72",13,294,"CRSS0201","intervention","2023-02-02",8,2,NA,4763.59291935937,NA,"Improved","Unimproved","No","Yes","No","No",1,0
"73",15,315,"EAA00000302","intervention","2022-10-21",10,0,315,2437,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,0
"74",15,318,"EAA00000602","intervention","2022-10-21",4,0,315,2437,"third","Improved","Improved","No","No","Yes","Yes",1,0
"75",15,319,"EAA00000603","intervention","2022-10-21",7,1,315,2437,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"76",15,320,"EAA00001101","intervention","2022-10-23",13,4,315,2437,"third","Improved","Improved","No","No","Yes","Yes",1,0
"77",15,25,"EAA00001502","intervention","2022-10-21",10,4,315,2437,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"78",15,316,"EAA00000304","intervention","2022-10-21",3,0,315,2437,"third","Improved","Improved","No","Yes","Yes","Yes",1,0
"79",15,317,"EAA00000503","intervention","2022-10-23",11,2,315,2437,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"80",15,27,"EAA00002201","intervention","2022-10-16",6,2,315,2437,"second","Improved","Improved","No","No","Yes","Yes",1,1
"81",15,28,"EAA00002301","intervention","2022-10-16",25,1,315,2437,"second","Unimproved","Improved","No","No","Yes","Yes",1,1
"82",15,321,"EAA00002601","intervention","2022-10-23",3,1,315,2437,"third","Improved","Improved","No","No","Yes","Yes",1,0
"83",15,322,"EAA00002801","intervention","2022-10-23",2,0,315,2437,"third","Improved","Improved","No","No","Yes","Yes",1,0
"84",15,29,"EAA00003601","intervention","2022-10-18",29,4,315,2437,"second","Improved","Improved","No","Yes","Yes","Yes",1,1
"85",15,26,"EAA00002001","intervention","2022-10-23",25,3,315,2437,"second","Improved","Unimproved","No","No","Yes","Yes",1,1
"86",15,325,"EAB00000704","intervention","2022-10-23",7,2,315,2437,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"87",15,326,"EAB00002501","intervention","2022-10-23",10,0,315,2437,"second","Improved","Improved","No","No","Yes","Yes",1,0
"88",15,327,"EAC00001101","intervention","2022-10-23",9,2,315,2437,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"89",15,328,"EAC00001302","intervention","2022-10-20",8,1,315,2437,"fourth","Improved","Improved","No","Yes","Yes","No",1,0
"90",15,31,"EAC00002101","intervention","2022-10-17",10,2,315,2437,"second","Improved","Improved","No","No","Yes","No",1,1
"91",15,329,"EAC00002801","intervention","2022-10-21",5,2,315,2437,"second","Improved","Improved","Yes","No","Yes","No",1,0
"92",15,32,"EAD00000903","intervention","2022-10-18",1,2,315,2437,"highest","Improved","Unimproved","No","No","Yes","No",1,1
"93",15,330,"EAD00001201","intervention","2022-10-20",8,1,315,2437,"highest","Improved","Improved","No","No","Yes","No",1,0
"94",15,331,"EAD00001401","intervention","2022-10-21",13,1,315,2437,"third","Improved","Unimproved","No","No","Yes","No",1,0
"95",15,33,"EAD00001501","intervention","2022-10-16",7,0,315,2437,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"96",15,332,"EAD00001701","intervention","2022-10-22",5,1,315,2437,"highest","Improved","Improved","No","No","Yes","No",1,0
"97",15,333,"EAD00002102","intervention","2022-10-23",9,0,315,2437,"fourth","Improved","Improved","Yes","No","Yes","No",1,0
"98",15,334,"EAD00003101","intervention","2022-10-20",5,1,315,2437,"highest","Improved","Improved","No","No","Yes","No",1,0
"99",15,335,"EAD00003201","intervention","2022-10-23",16,4,315,2437,"fourth","Improved","Improved","Yes","No","Yes","No",1,0
"100",15,34,"EAD00003402","intervention","2022-10-18",1,0,315,2437,"highest","Improved","Improved","Yes","No","No","No",1,1
"101",15,336,"EAE00001101","intervention","2022-10-21",10,1,315,2437,"fourth","Improved","Improved","Yes","No","Yes","No",1,0
"102",15,337,"EAE00001201","intervention","2022-10-21",30,10,315,2437,"lowest","Improved","Improved","No","No","Yes","No",1,0
"103",15,338,"EAF00001001","intervention","2022-10-21",7,2,315,2437,"highest","Improved","Improved","No","No","Yes","No",1,0
"104",15,35,"EAH00000803","intervention","2022-10-22",6,0,315,2437,"fourth","Improved","Improved","No","No","Yes","No",1,1
"105",15,339,"EAH00001201","intervention","2022-10-23",6,0,315,2437,"lowest","Improved","Improved","No","No","Yes","No",1,0
"106",15,340,"EAH00001203","intervention","2022-10-24",8,0,315,2437,"lowest","Improved","Improved","Yes","No","Yes","No",1,0
"107",15,36,"EAH00001205","intervention","2022-10-23",13,2,315,2437,"second","Improved","Improved","Yes","No","Yes","No",1,1
"108",15,323,"EAA00004401","intervention","2022-10-23",8,0,315,2437,"second","Improved","Improved","No","No","Yes","Yes",1,0
"109",15,324,"EAA00004501","intervention","2022-10-23",12,3,315,2437,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"110",15,30,"EAA00004801","intervention","2022-10-17",11,3,315,2437,"second","Improved","Unimproved","No","No","Yes","Yes",1,1
"111",3,37,"ECA00000502","contrôle","2022-10-24",7,2,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,1
"112",3,341,"ECA00001002","contrôle","2022-11-03",6,0,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,0
"113",3,38,"ECA00001101","contrôle","2022-10-25",3,0,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,1
"114",3,342,"ECA00001302","contrôle","2022-11-03",12,1,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,0
"115",3,39,"ECA00003301","contrôle","2022-10-25",20,1,536,3777,"lowest","Improved","Improved","No","Yes","Yes","No",1,1
"116",3,343,"ECB00000401","contrôle","2022-11-03",13,3,536,3777,"lowest","Improved","Improved","No","Yes","Yes","No",1,0
"117",3,344,"ECB00000503","contrôle","2022-11-01",12,2,536,3777,"third","Improved","Improved","No","No","Yes","No",1,0
"118",3,40,"ECB00001801","contrôle","2022-10-12",3,0,536,3777,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"119",3,345,"ECB00002401","contrôle","2022-11-01",5,1,536,3777,"second","Improved","Improved","Yes","No","Yes","No",1,0
"120",3,41,"ECC00000106","contrôle","2022-10-11",11,2,536,3777,"third","Improved","Improved","Yes","Yes","Yes","Yes",1,1
"121",3,42,"ECC00001101","contrôle","2022-10-12",10,4,536,3777,"highest","Improved","Improved","No","No","Yes","Yes",1,1
"122",3,346,"ECC00001301","contrôle","2022-11-01",10,0,536,3777,"highest","Improved","Improved","Yes","No","Yes","No",1,0
"123",3,347,"ECC00005204","contrôle","2022-11-12",8,1,536,3777,"third","Improved","Unimproved","No","No","Yes","No",1,0
"124",3,43,"ECC00005301","contrôle","2022-10-12",11,3,536,3777,"highest","Improved","Improved","No","Yes","Yes","Yes",1,1
"125",3,348,"ECC00007101","contrôle","2022-11-11",9,2,536,3777,"fourth","Improved","Improved","No","No","Yes","No",1,0
"126",3,349,"ECC00008801","contrôle","2022-11-19",5,0,536,3777,"highest","Improved","Improved","Yes","No","Yes","No",1,0
"127",3,350,"ECC00009001","contrôle","2022-10-14",8,0,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,0
"128",3,351,"ECC00009501","contrôle","2022-11-18",6,1,536,3777,"highest","Improved","Improved","No","No","Yes","No",1,0
"129",3,352,"ECD00000303","contrôle","2022-11-12",3,0,536,3777,"lowest","Improved","Improved","No","No","Yes","No",1,0
"130",3,353,"ECD00000601","contrôle","2022-11-03",5,0,536,3777,"fourth","Improved","Unimproved","No","Yes","Yes","No",1,0
"131",3,44,"ECF00000601","contrôle","2022-10-25",3,0,536,3777,"highest","Unimproved","Unimproved","Yes","No","Yes","Yes",1,1
"132",3,45,"ECF00000607","contrôle","2022-10-25",8,1,536,3777,"highest","Unimproved","Unimproved","No","No","No","Yes",1,1
"133",3,46,"ECF00000608","contrôle","2022-10-25",12,3,536,3777,"fourth","Unimproved","Unimproved","No","No","Yes","Yes",1,1
"134",3,354,"ECF00001403","contrôle","2022-11-03",13,1,536,3777,"second","Improved","Unimproved","No","No","Yes","Yes",1,0
"135",3,355,"ECF00001501","contrôle","2022-10-27",6,0,536,3777,"second","Unimproved","Unimproved","No","No","Yes","Yes",1,0
"136",3,356,"ECF00001601","contrôle","2022-10-27",11,3,536,3777,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"137",3,357,"ECF00002602","contrôle","2022-10-27",3,0,536,3777,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"138",3,47,"ECG00000201","contrôle","2022-11-01",7,3,536,3777,"fourth","Unimproved","Unimproved","No","No","Yes","Yes",1,1
"139",3,48,"ECH00001003","contrôle","2022-11-01",6,1,536,3777,NA,"Unimproved","Unimproved","No","Yes","Yes","Yes",1,1
"140",3,358,"ECJ00000501","contrôle","2022-11-03",22,4,536,3777,"lowest","Unimproved","Unimproved","No","No","Yes","Yes",1,0
"141",3,359,"ECK00000301","contrôle","2022-11-03",3,0,536,3777,"highest","Improved","Improved","No","No","No","Yes",1,0
"142",3,360,"ECK00000302","contrôle","2022-11-03",3,0,536,3777,"second","Improved","Improved","No","No","Yes","Yes",1,0
"143",3,361,"ECK00001002","contrôle","2022-11-03",8,1,536,3777,"second","Unimproved","Unimproved","No","No","Yes","Yes",1,0
"144",3,362,"ECL00000301","contrôle","2022-11-03",21,5,536,3777,"fourth","Unimproved","Unimproved","No","No","Yes","Yes",1,0
"145",3,363,"ECM00000602","contrôle","2023-02-04",6,2,536,3777,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"146",3,364,"ECM00001201","contrôle","2023-02-04",27,2,536,3777,"third","Improved","Improved","No","No","Yes","Yes",1,0
"147",3,365,"ECM00001303","contrôle","2023-02-04",16,3,536,3777,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"148",3,366,"ECM00001701","contrôle","2023-02-04",5,0,536,3777,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"149",12,367,"EDA00000202","intervention","2022-11-17",2,NA,763,5297,"fourth","Improved","Unimproved",NA,"No","Yes","Yes",1,0
"150",12,368,"EDA00001102","intervention","2022-11-17",4,1,763,5297,"third","Improved","Unimproved","No","No","Yes","Yes",1,0
"151",12,369,"EDA00001203","intervention","2022-11-16",6,2,763,5297,"second","Improved","Unimproved","No","No","Yes","Yes",1,0
"152",12,370,"EDA00001501","intervention","2022-11-16",3,NA,763,5297,"third","Unimproved","Unimproved","No","No","Yes","Yes",1,0
"153",12,371,"EDA00001602","intervention","2022-11-17",12,NA,763,5297,"fourth","Improved","Unimproved","No","No","Yes","Yes",1,0
"154",12,372,"EDB00000604","intervention","2022-11-15",2,NA,763,5297,"third","Unimproved","Unimproved","Yes","Yes","No","Yes",1,0
"155",12,49,"EDC00002102","intervention","2022-11-15",17,3,763,5297,"lowest","Improved","Improved","No","No","Yes","Yes",1,1
"156",12,50,"EDC00002601","intervention","2022-11-15",3,NA,763,5297,"third","Improved","Improved","No","No","Yes","Yes",1,1
"157",12,373,"EDC00002903","intervention","2022-11-16",1,NA,763,5297,"fourth","Unimproved","Improved","No",NA,"Yes","Yes",1,0
"158",12,374,"EDD00001006","intervention","2022-11-16",2,NA,763,5297,"second","Unimproved","Improved","No","No","Yes","Yes",1,0
"159",12,375,"EDD00001201","intervention","2022-11-16",7,1,763,5297,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"160",12,51,"EDD00001301","intervention","2022-11-14",7,2,763,5297,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"161",12,376,"EDE00000404","intervention","2022-11-15",9,NA,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,0
"162",12,377,"EDE00000702","intervention","2022-11-16",6,NA,763,5297,"third","Improved","Improved","No","No","Yes","Yes",1,0
"163",12,52,"EDF00000106","intervention","2022-11-13",5,1,763,5297,"second","Improved","Improved","Yes","No","Yes","Yes",1,1
"164",12,378,"EDF00000703","intervention","2022-11-16",4,NA,763,5297,"fourth","Improved","Improved","Yes","Yes","No",NA,1,0
"165",12,53,"EDF00000901","intervention","2022-11-15",2,NA,763,5297,NA,"Unimproved","Improved","Yes","Yes","No",NA,1,1
"166",12,54,"EDI00002001","intervention","2022-11-13",10,2,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,1
"167",12,379,"EDJ00000401","intervention","2022-11-15",4,NA,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,0
"168",12,55,"EDL00000401","intervention","2023-01-10",6,0,763,5297,"fourth","Improved","Unimproved","No","No","Yes","Yes",1,1
"169",12,380,"EDL00001302","intervention","2022-11-16",17,1,763,5297,"second","Unimproved","Improved","No","No","No","Yes",1,0
"170",12,56,"EDN00002003","intervention","2022-11-14",17,3,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,1
"171",12,57,"EDN00002401","intervention","2022-11-14",7,2,763,5297,"highest","Improved","Improved","No","No","No","Yes",1,1
"172",12,381,"EDT00001501","intervention","2022-11-15",12,0,763,5297,"second","Improved","Unimproved","No","No","Yes","Yes",1,0
"173",12,382,"EDT00001901","intervention","2022-11-15",7,2,763,5297,"second","Improved","Unimproved","No","Yes","No","Yes",1,0
"174",12,383,"EDV00000901","intervention","2022-11-16",7,0,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,0
"175",12,384,"EDV00001403","intervention","2022-11-16",3,0,763,5297,"highest","Improved","Improved","No","No","Yes","Yes",1,0
"176",12,385,"EDW00002401","intervention","2022-11-16",14,1,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,0
"177",12,386,"EDW00002501","intervention","2022-11-16",4,0,763,5297,"highest","Improved","Improved","No","No","No","No",1,0
"178",12,58,"EDX00001202","intervention","2022-11-13",3,1,763,5297,"fourth","Improved","Improved","No","No","Yes","Yes",1,1
"179",12,387,"EDX00001205","intervention","2022-11-13",5,0,763,5297,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"180",12,59,"EDX00001301","intervention","2022-11-13",7,1,763,5297,"second","Improved","Improved","No","No","Yes","Yes",1,1
"181",12,388,"EDX00001305","intervention","2022-11-11",4,2,763,5297,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"182",12,60,"EDX00001701","intervention","2022-11-13",13,2,763,5297,"highest","Improved","Improved","No","No","Yes","Yes",1,1
"183",22,389,"EEA00000701","intervention","2022-11-05",32,3,277,1945,"second","Improved","Improved","No","No","Yes","Yes",1,0
"184",22,390,"EEA00001202","intervention","2022-11-11",6,1,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"185",22,391,"EEA00001301","intervention","2022-11-05",3,NA,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"186",22,392,"EEA00001302","intervention","2022-11-05",13,2,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"187",22,61,"EEA00001403","intervention","2022-11-05",15,NA,277,1945,"third","Improved","Improved","No","Yes","Yes","Yes",1,1
"188",22,393,"EEA00001701","intervention","2022-11-11",11,NA,277,1945,"second","Improved","Improved","No","Yes","Yes","Yes",1,0
"189",22,62,"EEA00001901","intervention","2022-11-08",15,4,277,1945,"lowest","Improved","Improved","No","Yes","Yes","Yes",1,1
"190",22,394,"EEA00002701","intervention","2022-11-18",13,2,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"191",22,63,"EEA00002901","intervention","2022-11-07",6,NA,277,1945,"second","Improved","Improved","No","No","Yes","Yes",1,1
"192",22,395,"EEB00001101","intervention","2022-11-09",10,2,277,1945,"fourth","Improved","Improved","No",NA,"Yes","Yes",1,0
"193",22,64,"EEB00001802","intervention","2022-11-08",2,NA,277,1945,"highest","Improved","Improved","No","No","Yes","Yes",1,1
"194",22,396,"EEB00001902","intervention","2022-11-05",5,NA,277,1945,"third","Improved","Improved","No","Yes","Yes","Yes",1,0
"195",22,65,"EEB00002301","intervention","2022-11-04",7,1,277,1945,"fourth","Improved","Improved","No","Yes","Yes","Yes",1,1
"196",22,397,"EEB00002501","intervention","2022-11-09",17,3,277,1945,"second","Improved","Improved","No","Yes","Yes","Yes",1,0
"197",22,398,"EEB00002503","intervention","2022-11-09",11,NA,277,1945,"fourth","Improved","Improved","No","Yes","Yes","Yes",1,0
"198",22,399,"EEB00002901","intervention","2022-11-09",14,2,277,1945,"fourth","Improved","Unimproved","No","No","Yes","Yes",1,0
"199",22,400,"EEB00003106","intervention","2022-11-11",1,NA,277,1945,NA,"Improved","Improved","No","No","Yes","Yes",1,0
"200",22,66,"EEB00003502","intervention","2022-11-07",5,1,277,1945,"third","Improved","Improved","No","No","Yes","Yes",1,1
"201",22,67,"EEH00002401","intervention","2022-11-06",8,1,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,1
"202",22,68,"EEH00003201","intervention","2022-11-07",5,0,277,1945,"lowest","Improved","Improved","No","No","No","No",1,1
"203",22,69,"EEH00003401","intervention","2022-11-08",5,1,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,1
"204",22,70,"EEI00000107","intervention","2023-01-10",4,1,277,1945,"fourth","Improved","Improved","No","No","Yes","No",1,1
"205",22,401,"EEI00000203","intervention","2022-11-10",5,2,277,1945,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"206",22,402,"EEJ00000102","intervention","2022-11-09",5,1,277,1945,"fourth","Improved","Improved","No","No","Yes","Yes",1,0
"207",22,403,"EEJ00000302","intervention","2022-11-09",6,0,277,1945,"third","Improved","Improved","No","No","No","No",1,0
"208",22,404,"EEJ00000401","intervention","2022-11-14",8,3,277,1945,"third","Improved","Improved","No","No","No","Yes",1,0
"209",22,405,"EEJ00000501","intervention","2022-11-09",7,0,277,1945,"third","Improved","Improved","No","No","Yes","Yes",1,0
"210",22,406,"EEJ00000601","intervention","2022-11-11",15,4,277,1945,"lowest","Improved","Improved","No","No","Yes","Yes",1,0
"211",22,407,"EEJ00000702","intervention","2022-11-11",4,0,277,1945,"fourth","Improved","Improved","No","No","No","No",1,0
